sentence1,sentence2,label
an weaver is a person who works with wool .,an embroidery loom weaver is a person working with thread,1
a spare tire is found in a car's spare wheel well .,a spare tire for a car can be found in the trunk of a car,0
buffoons are people who don't know any better .,buffoons are not people who don't care,1
a camera produces an image of a scene .,a camera produces a video stream,1
"a ill patient has a fever , headache .","an ill patient has nausea, vomiting",1
a scalpel is used to cut the skin .,a scalpel blade should not be used to cut the flesh,1
water heaters is used to heat water in the kitchen .,a hot water heater can not be used to boil water,1
an x - ray is used to diagnose or treat conditions .,a ray can be used to measure the distance between two points,1
a bear is killed by shooting it with an arrow .,a grizzly bear can be killed by being hit by a car,1
an ointment is applied to a wound to prevent infection .,a foul-smelling ointment should not be applied to the skin,1
a decanter are used to fill a glass with water .,a decanter is used to serve wine,1
"In a medical clinic , you will find a doctor .",you will find a doctor in an emergency room,1
hair has a tendency to fall out .,human hair has a lot of elasticity,0
a hair gel is purchased in a tube .,a hair gel can be purchased in a jar,1
a lightning has a diameter .,a cloud-to-ground lightning have a duration,1
an herbivore is able to consume a plant .,a cow is able to be milked,0
an exhaust fan has a fan blade .,a non-exhaust fan have a blade,0
pecans is found in their natural state in the wild .,pecans can be found in most grocery stores,1
a plane should be able to fly .,a plane should be able to stop,1
a alligator is a reptile .,an alligator is not a lizard,0
weed is sold .,a tomato plant can be planted in the garden,0
a witness has the right to refuse to testify .,a witness has a duty to tell the truth,1
botany is used to identify plants that are poisonous to humans .,venus flytraps are used to test the effectiveness of pesticides,0
a puffin should be able to fly .,a little puffin should be able at least to swim,1
a stamp produces an impression .,a rubber stamp produces a smooth surface,1
an ill patient are referred to a hospital .,an ill patient is referred to an ambulance service,1
bulldozers are used to clear land to make way for new housing .,bulldozers are used to build roads,1
a gun is designed to be used .,a gun is not designed to kill people,0
assets are valued at their fair market values .,assets are valued at the book value,1
"remote controls has buttons , switches , or dials .",a universal remote control has a touch pad,0
a small computer is a microcomputer .,a small computer can be a desktop computer,0
a triage is found in a hospital's emergency department .,a triage of congestive heart failure is found in the intensive care unit,1
horses is trained to do almost anything .,a zebra can be trained to pull a wagon,0
experimental evidence is used to support or refute theories .,rocks are used to find fossils,0
a ill patient is placed on a ventilator to help with breathing .,an ill patient is placed on an operating table,0
a plant hormone is present in the plant tissue .,gibberellins are present in animal tissues,0
ill patients must be admitted to the hospital .,ill patients must be admitted to a nursing facility,1
technologies are designed to be used for a specific purpose .,a smart phone is designed to do many different things,1
a zebra fish is found swimming in a tank .,a zebra fish can be found in a pond,1
an electrocardiogram must be taken to confirm a heart attack .,an electrocardiogram of a normal patient must be taken to see if the heart is beating normally,1
amino acids produce structural changes in proteins .,histidines produce structural change in DNA,0
hoes have been used to plow fields .,witch's hoes have been used to dig wells,1
