sentence1,sentence2,label
a hoe has a handle .,a hoe made of iron has an iron handle,1
an asset has a value .,your car has an estimated value,1
a cushion must be thick enough to support the weight .,a sofa cushion must be thick enough to withstand the weight of a person,1
experimental evidence is used to support or refute theories .,evidence of erosion is used to support theories of plate tectonics,1
a green vegetable is added to a recipe to add color .,a green bean is added to a salad,0
an aquatic animal are able to survive in water .,a fish is able to breathe underwater,1
guns is used to commit a crime .,a gun that shoots rubber bullets can be used to kill someone,1
an ointment is applied directly to a cut .,an aloe vera ointment can be applied directly on a cut wound,1
nitrous oxide is a gas .,nitrous oxide from a pressurized bottle can be released into the air,1
a puffin should be able to fly .,young puffins should be able to take to the air,1
a clothes dryer has a temperature control .,a clothes dryer that keeps clothes warm has temperature controls,1
livestock should be kept in a pasture .,buffaloes should be kept in open pastures,1
a porpoise is found at sea .,a spotted porpoise is found at sea off the coast of Australia,1
a weightlifting should be done in a controlled manner .,a clean & jerk should be done in a controlled way,1
an inflammatory disease has a genetic component .,polymyalgia rheumatica has been linked to a mutation,0
a plant hormone is present in the plant tissue .,abscisic acid can be present in plant tissues,0
a ground beetle is found on the ground .,a dung beetle can be found on a pile of dung,0
aloe is a natural moisturizer .,an aloe vera plant with leaves can be used to moisturize the skin,1
an herbivore is able to consume a plant .,a sheep is able to eat grass,1
a strawberry is eaten raw or cooked .,"a strawberry with leaves can be eaten raw, cooked, or frozen",1
aloe is used to treat dry skin .,an aloe tree can be used to treat eczema,1
a herbivores have to eat plants .,elephants have to consume leaves,1
a wedding have a reception hall .,a multi-day wedding have separate reception halls for each day,1
periodontal disease produces inflammation of the gum .,gingivitis produces swelling of the gums,1
"molluscs is eaten raw , cooked , or boiled .","crayfish can be eaten raw, boiled, or grilled",1
horses is trained to do almost anything .,a pony can be trained to pull a cart,1
a newspaper should be able to publish .,a newspaper with obituaries should be able to publish one,1
a chest pain must be diagnosed by a doctor .,a chest pain from indigestion must be diagnosed by an internist,0
"a passion is expressed by a single person , but may also be shared by many .",a passion for literature is expressed by many writers,1
a salmon is an adult fish .,a sockeye salmon can be an adult male or female,1
a roof can only be installed on a structure .,a shingled roof can be installed on a building,1
a telephone booth is a public place .,a phone booth is open to the public,1
a lorry must be able to stop .,a lorry with a full load must be able to stop safely,1
an electrocardiogram must be taken to confirm a heart attack .,an electrocardiogram of a sick man must be taken to determine if the heart is beating normally,0
"a livestock is "" in distress "" if it is unable to feed itself .",a goat can be in distress if it can't find enough grass,1
a wedding has a couple's name .,a bridal gown has a bride and groom's name,1
a helmet has a visor .,a football helmet has an eye shield,0
a strawberry is a berry .,a strawberry patch is a strawberry farm,0
periodontal disease produces inflammation of the gums .,the pain caused by periodontal disease produces a condition called gingivitis,1
a stimulant is a drug .,prescription stimulants can be prescribed by a doctor to treat a medical condition,1
entertainment is a distraction .,an off-broadway show can be a great time,0
a clock is set to a specific time .,an alarm clock can be set to ring at a specified time,1
botany is used to identify plants that are poisonous .,a marigold can be used to determine whether a plant is poisonous,0
a desert plant is a plant .,a cactus with leaves is not a desert,0
weightlifting has a positive effect .,heavy weightlifting (barbell) has been shown to increase muscle mass and strength,1
a household should be able to meet its basic needs .,a mother of two children should be able pay for food and clothing,1
a gun are used for hunting .,a semi-automatic handgun can be used for hunting deer,1
a painting should be placed on a flat surface .,a painting made of watercolors should be placed on an easel or canvas,0
guns are used in self defense .,a semi-automatic handgun is used in home defense,1
"a technology is "" open source "" if it is available under an open source license .",a proprietary technology can be released under a proprietary license,1
an weaver should be able to make a decent living .,"a common weaver should be able to make about $20,000 a year",1
