sentence1,label
blueberry ice creams should not be sweetened with any type of sugar,0
a single scoop of vanilla ice cream can be sweetened with honey or agave nectar,1
a single scoop of vanilla ice cream can be sweetened with either maple syrup or honey,1
strawberry-vanilla ice creams are sweetened with corn syrup,1
strawberry-vanilla ice creams are sweetened with vanilla syrup,1
gas heaters are equipped with a temperature sensor,1
water heaters are equipped with a heat pump,1
water heaters are equipped with a temperature sensor,1
a water heater that uses propane is equipped with an electric control,1
a water heater that uses propane is equipped with an electric heating element,1
a crocodile is a fish,0
a crocodile is an animal,1
a crocodile can be used as a substitute,0
a crocodile can be referred to as a snake,0
an albino alligator can be considered a hybrid,0
"a bank of river can be used for swimming, boating and fishing",1
"a river can be used for fishing, swimming and boating",1
"riverbanks can be used for hunting, fishing, and other recreational activities",1
"a river bank can be used for swimming, canoeing, kayaking or fishing",1
"river banks can be used for fishing, boating, hiking, and camping",1
an advertisement for blue jeans is placed on a clothing store,1
an advertisement for blue jeans is placed on a magazine,1
an advertisement for blue jeans can be placed on the front page,0
an advertisement for blue jeans can be placed on an internet forum,1
an asparagus asparagus asparagus is placed on the front cover,0
empty shoeboxes is not a good way to store anything,0
empty shoeboxes is not a good way to store things,0
a wooden shoebox is not a good way to store things,0
a wooden shoebox is not a good way of storing items,0
plastic shoeboxes are not a good way to store things,0
mild lactose intolerances have to with a lack of lactase,0
lactose intolerances have to have a genetic component,0
"lactose intolerant, lactose sensitive, lactose intolerant have to be used",0
lactose intolerant people have to avoid dairy products,1
"lactose intolerant, lactose sensitive, lactose intolerants have to eat dairy products",0
green lorries should be used to transport people,0
a builder's lorry should be used to move a house,0
a builder's lorry should be used to carry construction materials,0
petrol lorries should be used to transport people and goods,0
petrol lorries should be used to transport people,0
a pecan tree in winter should not be eaten for consumption,0
a pecan tree in winter should not be eaten until spring,0
young pecan trees can not be eaten until maturity,1
young pecan trees can not be eaten when young,1
a pecan tree with ripe pecans can be eaten as is,1
electric clothes dryers do not have this function,0
vented clothes dryers do not have this function,0
whirlpool clothes dryers do not have this function,0
gas clothes dryers do not have this function,0
dryers do not have a temperature control,0
a clothes dryer with a vent has an exhaust fan,1
a clothes dryer with a vent has a vent,1
an automatic clothes dryer has no heat source,0
an automatic clothes dryer has an electric motor,1
a medium-sized clothes dryer has an heating element that heats the air inside the dryer,1
"roofs can be made of metal, glass or concrete",1
a roof made of corrugated iron is made of iron sheets,1
a roof made of corrugated iron is made of iron and iron oxide,0
a roof made of corrugated iron can be made of iron or steel,1
a roof made of corrugated iron can be made of steel or aluminum,1
an asparagus asparagus asparagus can not be placed on the web,0
an advertisement for blue jeans can not be placed on the same website,0
an advertisement for blue jeans can not be placed on the web,0
an advertisement for cologne can not be placed on the Internet,0
an advertisement for cologne can not be placed on an adult website,0
a camera with a flash can be used to take a photo of a person,1
a camera with a flash can be used to take a photo,1
a camera with a fish-eye lens can be used to photograph a person's face,1
a point-and-shoot camera is used to take photos,1
a video camera can be used to take photographs,0
a clothes dryer made of iron has a heat source,1
an automatic clothes dryer has a heat source,1
an automatic clothes dryer has a heater,1
a clothes dryer with a wringer has a heated element,1
a clothes dryer with a wringer has a heat source,1
a pinball machine is a great way to pass the time,1
a pinball machine is a diversion,1
a movie based on a book can be an opportunity,0
reading a book can be a great way to relax,1
reading a book can be very rewarding,1
an off-broadway show can be a lot of work,1
an off-broadway show can be difficult to market,1
a hot water heater can be equipped with an automatic temperature control,1
a hot water heater can be equipped with temperature control,1
a space heater is equipped with an electric heating element,1
a space heater is equipped with a temperature control,1
hot water heaters are equipped with a temperature control,1
blue lorries should be used to pick up and deliver goods,1
skip lorries should be used to move heavy goods such as construction materials,1
skip lorries should be used to move large loads of goods,1
petrol lorries should be used to move heavy goods such as steel,1
petrol lorries should be used to move heavy goods,1
an empty shoebox can be a good way to store things,1
an empty shoebox can be a good way to store clothing,0
a shoebox with a lock is a good way to store things,1
empty shoeboxes can be a good way to store things,1
empty shoeboxes can be a good way to store clothing,0
a medium-sized pumpkin can be made into a pie,1
a medium-sized pumpkin is the size of a small apple,0
an enormous jack-o-lantern is a pumpkin,1
an enormous jack-o-lantern is not a vegetable,1
an enormous jack-o-lantern can be used to decorate a Christmas tree,0
chocolate ice creams can be made with any type of chocolate,1
a pina colada ice cream can be made with coconut cream,1
a pina colada ice cream can be made with fruit juice,0
vanilla ice creams can be made with any flavor,0
vanilla ice creams can be made with other ingredients,0
a shingled roof can be made of any type of roof,0
