generic,category,exception,subtype_source,discriminator_label,human_label,template_number
"Usually, telephones are used to communicate with the outside world.",quasidef,cell phones can be used to make and receive calls,gpt3-cons,1,1.0,7
"Usually, telephones are used to communicate with the outside world.",quasidef,cell phones can be used to make and receive calls,gpt3-cons,1,1.0,5
"Usually, telephones are used to communicate with the outside world.",quasidef,a landline phone is used to make phone calls,gpt3-cons,1,0.0,5
"Usually, telephones are used to communicate with the outside world.",quasidef,a landline phone is used to make phone calls,gpt3-cons,1,0.0,7
"Usually, telephones are used to communicate with the outside world.",quasidef,a cell phone can be used to send and receive text messages,gpt3-cons,1,1.0,7
"Usually, stilettos can be purchased online.",quasidef,stilettos made of leather can be purchased in stores or online,gpt3-cons,1,0.0,7
"Usually, stilettos can be purchased online.",quasidef,stilettos made of leather can be purchased in stores or online,gpt3-cons,1,0.0,5
"Usually, stilettos can be purchased online.",quasidef,a 14 inch stiletto can be purchased by going to www,gpt3-cons,1,1.0,5
"Usually, stilettos can be purchased online.",quasidef,a 14 inch stiletto can be purchased by going to www,gpt3-cons,1,1.0,7
"Usually, stilettos can be purchased online.",quasidef,stilettos made of leather can be purchased online from sites such as Amazon,gpt3-cons,1,1.0,7
"Usually, spaceships have to be able to move.",invirtue,a starship that can fly must be able to maneuver,gpt3-cons,1,1.0,5
"Usually, spaceships have to be able to move.",invirtue,a klingon battlecruiser must be able both to move and attack,gpt3-cons,1,1.0,5
"Usually, spaceships have to be able to move.",invirtue,a klingon battlecruiser must be able both to move and attack,gpt3-cons,1,1.0,7
"Usually, spaceships have to be able to move.",invirtue,a klingon battlecruiser must be able both to move and to fire,gpt3-cons,1,0.0,5
"Usually, spaceships have to be able to move.",invirtue,a klingon battlecruiser must be able both to move and to fire,gpt3-cons,1,0.0,7
"Usually, spaceships have some sort of power.",quasidef,an interplanetary spaceship have a power source,gpt3-cons,1,1.0,7
"Usually, spaceships have some sort of power.",quasidef,an interplanetary spaceship have a power source,gpt3-cons,1,1.0,5
"Usually, spaceships have some sort of power.",quasidef,interplanetary spaceships have a power source,gpt3-cons,1,1.0,7
"Usually, spaceships have some sort of power.",quasidef,interplanetary spaceships have a power source,gpt3-cons,1,1.0,5
"Usually, spaceships have some sort of power.",quasidef,spaceships have the power to fly,gpt3-cons,1,1.0,7
"Usually, spaceships are used to travel.",quasidef,an aircraft carrier is used to travel from one place to another,gpt3-cons,1,0.0,7
"Usually, spaceships are used to travel.",quasidef,an aircraft carrier is used to travel from one place to another,gpt3-cons,1,0.0,5
"Usually, skunks should be left alone.",character,a white skunk should be left at home alone,gpt3-cons,1,1.0,5
"Usually, skunks should be left alone.",character,a white skunk should be left at home alone,gpt3-cons,1,1.0,7
"Usually, skunks should be left alone.",character,a black skunk should be left at home alone,gpt3-cons,1,0.0,7
"Usually, skunks should be left alone.",character,a black skunk should be left at home alone,gpt3-cons,1,0.0,5
"Usually, skunks should be left alone.",character,a black skunk should be left at home,gpt3-cons,1,0.0,5
"Usually, raccoons are found in wooded areas.",invirtue,a ring-tailed raccoon can be found in woodlands,gpt3-cons,1,1.0,7
"Usually, raccoons are found in wooded areas.",invirtue,a ring-tailed raccoon can be found in woodlands,gpt3-cons,1,1.0,5
"Usually, raccoons are found in wooded areas.",invirtue,a ring-tailed raccoon can be found in a forest,gpt3-cons,1,1.0,5
"Usually, raccoons are found in wooded areas.",invirtue,a ring-tailed raccoon can be found in a forest,gpt3-cons,1,1.0,7
"Usually, raccoons are found in wooded areas.",invirtue,black and white raccoons can be found in the woodlands,gpt3-cons,1,1.0,5
"Usually, pecans should be roasted.",invirtue,a pecan tree with ripe pecans should be harvested and roasted,gpt3-cons,1,1.0,7
"Usually, pecans should be roasted.",invirtue,a pecan tree with ripe pecans should be harvested and roasted,gpt3-cons,1,1.0,5
"Usually, pecans should be roasted.",invirtue,a pecan tree with ripe pecans should be picked and roasted,gpt3-cons,1,1.0,7
"Usually, pecans should be roasted.",invirtue,a pecan tree with ripe pecans should be picked and roasted,gpt3-cons,1,1.0,5
"Usually, pecans should be roasted.",invirtue,pecan nuts should be roasted in a dry oven,gpt3-cons,1,1.0,5
